Name,Accuracy,F1 Score
Closure,0.99 ± 0.08,0.99 ± 0.00
Dissection,0.99 ± 0.11,0.99 ± 0.00
Scope Removal,1.00 ± 0.03,1.00 ± 0.00
Setup,0.99 ± 0.10,0.97 ± 0.03
Specimen Removal,1.00 ± 0.02,0.99 ± 0.01
