Name,Accuracy,F1 Score
Closure,0.99 ± 0.09,0.99 ± 0.00
Dissection,0.99 ± 0.10,0.99 ± 0.00
Scope Removal,1.00 ± 0.03,1.00 ± 0.00
Setup,0.99 ± 0.09,0.97 ± 0.02
Specimen Removal,1.00 ± 0.03,0.97 ± 0.03
